"lon" "lat" "bottom_depth" "month" "time" "date" "vertical_advection_v"
-180 -85 74 1 2015-01-15 735979 0
-180 -85 74 2 2015-02-15 736010 0
-180 -85 74 3 2015-03-15 736038 0
-180 -85 74 4 2015-04-15 736069 0
-180 -85 74 5 2015-05-15 736099 0
-180 -85 74 6 2015-06-15 736130 0
-180 -85 74 7 2015-07-15 736160 0
-180 -85 74 8 2015-08-15 736191 0
-180 -85 74 9 2015-09-15 736222 0
-180 -85 74 10 2015-10-15 736252 0
-180 -85 74 11 2015-11-15 736283 0
-180 -85 74 12 2015-12-15 736313 0
-180 -80 147 1 2015-01-15 735979 0
-180 -80 147 2 2015-02-15 736010 0
-180 -80 147 3 2015-03-15 736038 0
-180 -80 147 4 2015-04-15 736069 0
-180 -80 147 5 2015-05-15 736099 0
-180 -80 147 6 2015-06-15 736130 0
-180 -80 147 7 2015-07-15 736160 0
-180 -80 147 8 2015-08-15 736191 0
-180 -80 147 9 2015-09-15 736222 0
-180 -80 147 10 2015-10-15 736252 0
-180 -80 147 11 2015-11-15 736283 0
-180 -80 147 12 2015-12-15 736313 0
-180 -75 220 1 2015-01-15 735979 0
-180 -75 220 2 2015-02-15 736010 0
-180 -75 220 3 2015-03-15 736038 0
-180 -75 220 4 2015-04-15 736069 0
-180 -75 220 5 2015-05-15 736099 0
-180 -75 220 6 2015-06-15 736130 0
-180 -75 220 7 2015-07-15 736160 0
-180 -75 220 8 2015-08-15 736191 0
-180 -75 220 9 2015-09-15 736222 0
-180 -75 220 10 2015-10-15 736252 0
-180 -75 220 11 2015-11-15 736283 0
-180 -75 220 12 2015-12-15 736313 0
-180 -70 293 1 2015-01-15 735979 0
-180 -70 293 2 2015-02-15 736010 0
-180 -70 293 3 2015-03-15 736038 0
-180 -70 293 4 2015-04-15 736069 0
-180 -70 293 5 2015-05-15 736099 0
-180 -70 293 6 2015-06-15 736130 0
-180 -70 293 7 2015-07-15 736160 0
-180 -70 293 8 2015-08-15 736191 0
-180 -70 293 9 2015-09-15 736222 0
-180 -70 293 10 2015-10-15 736252 0
-180 -70 293 11 2015-11-15 736283 0
-180 -70 293 12 2015-12-15 736313 0
-180 -65 366 1 2015-01-15 735979 0
-180 -65 366 2 2015-02-15 736010 0
-180 -65 366 3 2015-03-15 736038 0
-180 -65 366 4 2015-04-15 736069 0
-180 -65 366 5 2015-05-15 736099 0
-180 -65 366 6 2015-06-15 736130 0
-180 -65 366 7 2015-07-15 736160 0
-180 -65 366 8 2015-08-15 736191 0
-180 -65 366 9 2015-09-15 736222 0
-180 -65 366 10 2015-10-15 736252 0
-180 -65 366 11 2015-11-15 736283 0
-180 -65 366 12 2015-12-15 736313 0
-180 -60 439 1 2015-01-15 735979 0
-180 -60 439 2 2015-02-15 736010 0
-180 -60 439 3 2015-03-15 736038 0
-180 -60 439 4 2015-04-15 736069 0
-180 -60 439 5 2015-05-15 736099 0
-180 -60 439 6 2015-06-15 736130 0
-180 -60 439 7 2015-07-15 736160 0
